    Creating violin plot: OverallNoNortonAndNeustar_OK
  PL 0 Mean: 0.12122266105751493
  PL 0 Median: 0.03940248489379883
  PL 10 Mean: 0.08511523364513804
  PL 10 Median: 0.03946208953857422
  PL 20 Mean: 0.11512563432564074
  PL 20 Median: 0.04026985168457031
  PL 30 Mean: 0.16255395287969504
  PL 30 Median: 0.0420529842376709
  PL 40 Mean: 0.24724635324980082
  PL 40 Median: 0.052138447761535645
  PL 50 Mean: 0.27868430973660996
  PL 50 Median: 0.06707298755645752
  PL 60 Mean: 0.40609513034087813
  PL 60 Median: 0.10795807838439941
  PL 70 Mean: 0.7055779809951782
  PL 70 Median: 0.15455996990203857
  PL 80 Mean: 0.9741754131052688
  PL 80 Median: 0.41749000549316406
  PL 85 Mean: 1.7472458020062513
  PL 85 Median: 0.5155909061431885
  PL 90 Mean: 1.968131596805485
  PL 90 Median: 0.5712829828262329
  PL 95 Mean: 3.2111450446279424
  PL 95 Median: 0.7387640476226807
  PL 100 Mean: -1
  PL 100 Median: -1
      
    Creating violin plot: OverallNoNortonAndNeustar_Error
  PL 0 Mean: -1
  PL 0 Median: -1
  PL 10 Mean: 1.5540750821431477
  PL 10 Median: 1.5218040943145752
  PL 20 Mean: 1.5804024591284282
  PL 20 Median: 1.5216548442840576
  PL 30 Mean: 1.5311956258467685
  PL 30 Median: 1.5205509662628174
  PL 40 Mean: 1.580889922816579
  PL 40 Median: 1.5255131721496582
  PL 50 Mean: 1.6568594470620155
  PL 50 Median: 1.524595022201538
  PL 60 Mean: 1.7261754228073416
  PL 60 Median: 1.5271484851837158
  PL 70 Mean: 1.9882350715001424
  PL 70 Median: 1.5288695096969604
  PL 80 Mean: 2.314937843808106
  PL 80 Median: 1.5334075689315796
  PL 85 Mean: 3.3457975781894933
  PL 85 Median: 1.532632827758789
  PL 90 Mean: 4.185594077948686
  PL 90 Median: 2.003914475440979
  PL 95 Mean: 4.916754757492236
  PL 95 Median: 1.5817677974700928
  PL 100 Mean: -1
  PL 100 Median: -1
    
    Creating violin plot: OverallNoNortonAndNeustar_1st-Query-1st-OK-Response
  PL 0 Mean: 0.12122266105751493
  PL 0 Median: 0.03940248489379883
  PL 10 Mean: 0.08511523364513804
  PL 10 Median: 0.03946208953857422
  PL 20 Mean: 0.11512563432564074
  PL 20 Median: 0.04026985168457031
  PL 30 Mean: 0.16255395287969504
  PL 30 Median: 0.0420529842376709
  PL 40 Mean: 0.24724635324980082
  PL 40 Median: 0.052138447761535645
